name,ENS,Address,Type,Quarter,Explorer Link,Note
carla0stcarla0st,,0x4BeCd3Fb05Cfc219Df227F3706231DaD2584DD79,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0x4BeCd3Fb05Cfc219Df227F3706231DaD2584DD79,
Cassox,,0x3D3c0B40daaED87D75FeB611BB5ac66Ebaa2E4Ae,Personal - Payout (EOA),,https://etherscan.io/address/0x3D3c0B40daaED87D75FeB611BB5ac66Ebaa2E4Ae,
Cassox,,0xdC639CE436DA70676D3a5E3198202328D6c91d23,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0xdC639CE436DA70676D3a5E3198202328D6c91d23,
Christinaxtina_korp,,0x3ea48DFA0F7a57D08e3Dd093C78D1e300616B57d,Personal - Payout (EOA),,https://etherscan.io/address/0x3ea48DFA0F7a57D08e3Dd093C78D1e300616B57d,
Christinaxtina_korp,,0x06Cb59f7c56643Bd7D87F53E60257e6218c918dC,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x06Cb59f7c56643Bd7D87F53E60257e6218c918dC,
coffee-crusher.coffeecrusher,,0x223da87421786DD8960bf2350e6c499BEbCA64d1,Personal - Payout (EOA),,https://etherscan.io/address/0x223da87421786DD8960bf2350e6c499BEbCA64d1,
coffee-crusher.coffeecrusher,,0x51759044e26534F2584857B47D997B09fAE5897d,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x51759044e26534F2584857B47D997B09fAE5897d,
Colinname.get,namedotget.eth,0x80581C6e88Ce00095F85cdf24bB760f16d6eC0D6,Personal - Payout (EOA),,https://etherscan.io/address/0x80581C6e88Ce00095F85cdf24bB760f16d6eC0D6,
Colinname.get,namedotget.eth,0x2a849503160A606a40DA6625B7Dc0DDF490D1F15,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x2a849503160A606a40DA6625B7Dc0DDF490D1F15,
Colinname.get,namedotget.eth,0xf716E27c86C7097Bd16C534E7DD2fA06fDba6A75,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xf716E27c86C7097Bd16C534E7DD2fA06fDba6A75,
Colinname.get,namedotget.eth,0xd89534bE0605753cDF1fB3Ad3Cf2de0FE06aed8c,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0xd89534bE0605753cDF1fB3Ad3Cf2de0FE06aed8c,
Colinname.get,namedotget.eth,0xD56a11160a57b313D97fb8104F63B0Aa8fE45E8d,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0xD56a11160a57b313D97fb8104F63B0Aa8fE45E8d,
Colinname.get,namedotget.eth,0x0AE5c0ca23AaA2d719Ed4374efc98189ca0EE9F4,vMOONEY Safe,"EB Incentive, Q1 2024",https://app.safe.global/home?safe=matic:0x0AE5c0ca23AaA2d719Ed4374efc98189ca0EE9F4,
CoordinapeN/A - Coordinape,,0x15B513F658f7390D8720dCE321f50974B28672EF,Personal - Payout (EOA),,https://etherscan.io/address/0x15B513F658f7390D8720dCE321f50974B28672EF,
CoordinapeN/A - Coordinape,,0x0e7EEfb0B4b6e4ef69E2c6E67876a907B14C5c7c,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x0e7EEfb0B4b6e4ef69E2c6E67876a907B14C5c7c,
CoordinapeN/A - Coordinape,,0xffdbdF446a7f8A8aFF470F98ac240C59fC0a2c85,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0xffdbdF446a7f8A8aFF470F98ac240C59fC0a2c85,
DaMiandamian2848,,0x4b2F36E078A7eFeBe7A0680EDC340A4A60ca8946,Personal - Payout (EOA),,https://etherscan.io/address/0x4b2F36E078A7eFeBe7A0680EDC340A4A60ca8946,
DaMiandamian2848,,0x9DA1b8CCFed36642F4FAaC16C7dDa28C0C71725B,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x9DA1b8CCFed36642F4FAaC16C7dDa28C0C71725B,
DaMiandamian2848,,0xd4d70e57f1fa8c5d0067fd823f849d9d113dbeea,Void,,https://etherscan.io/address/0xd4d70e57f1fa8c5d0067fd823f849d9d113dbeea,
DaMiandamian2848,,0xF2c7b35F53d94231Ad6eb4EE37bAFf66258c429E,Void,,https://etherscan.io/address/0xF2c7b35F53d94231Ad6eb4EE37bAFf66258c429E,
Daniel___mustang___,,0x1B7D7d183Bd233af690DDB33cE818f41995118a9,Personal - Payout (EOA),,https://etherscan.io/address/0x1B7D7d183Bd233af690DDB33cE818f41995118a9,
Daniel___mustang___,,0x25d0f2a35dFd86e744951FFAB9123155F76Ec60E,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x25d0f2a35dFd86e744951FFAB9123155F76Ec60E,
Daniel___mustang___,,0x92aAcd0BF21f2df6968ECDaBf6AE21e255948478,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x92aAcd0BF21f2df6968ECDaBf6AE21e255948478,
DrEimandreimanj,,0xe2d3aC725E6FFE2b28a9ED83bedAaf6672f2C801,Personal - Payout (EOA),,https://etherscan.io/address/0xe2d3aC725E6FFE2b28a9ED83bedAaf6672f2C801,
DrEimandreimanj,,0xA94C7dC83E0BB297F9c5F2093950E2080D73C6d0,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xA94C7dC83E0BB297F9c5F2093950E2080D73C6d0,
DrEimandreimanj,,0xe56D331451C93Adb1738b42a1D0c1aF58864159f,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0xe56D331451C93Adb1738b42a1D0c1aF58864159f,
Elijahflowscience,flowscience.eth,0x66CD14267fb5a1609496CdC37eB55E6FE3f59C75,Personal - Payout (EOA),,https://etherscan.io/address/0x66CD14267fb5a1609496CdC37eB55E6FE3f59C75,
Elijahflowscience,,0x3E0cCdc31AEFa89F5a1d5A89BeE6a51B35F8a5cF,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x3E0cCdc31AEFa89F5a1d5A89BeE6a51B35F8a5cF,
Eliotsocial_hacker_38241,,0x04877685e94E0694944D08a43d021E5768b595f0,Personal - Payout (EOA),,https://etherscan.io/address/0x04877685e94E0694944D08a43d021E5768b595f0,
Eliotsocial_hacker_38241,,0x3c2Fb720f487852075A841eA9d7C6855bB36D6DB,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x3c2Fb720f487852075A841eA9d7C6855bB36D6DB,
Entity Registration & Onboarding,,0x82B5614e2C3c9963C2d6645558f30e032003C699,Project Safe,,https://app.safe.global/home?safe=matic:0x82B5614e2C3c9963C2d6645558f30e032003C699,
Favianfavian23,,0xafa46468De1D6f1ab77DEFAe5F7657467911182d,Personal - Payout (EOA),,https://etherscan.io/address/0xafa46468De1D6f1ab77DEFAe5F7657467911182d,
Favianfavian23,,0x90481d1dc72D6e31fEDefc29457Ccd9359EE9295,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x90481d1dc72D6e31fEDefc29457Ccd9359EE9295,
Fernando_furda,,0x01A5109eC48a25C7c26C517b595FD7a5c2cE44eb,Personal - Payout (EOA),,https://etherscan.io/address/0x01A5109eC48a25C7c26C517b595FD7a5c2cE44eb,
Fernando_furda,,0xf078983F82e98E51C6e4592A9A2533eEC733F9C6,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xf078983F82e98E51C6e4592A9A2533eEC733F9C6,
Fiyinfiyinx20,,0x2753c791bCA3667f10800262FCB0168269e12DC5,Personal - Payout (EOA),,https://etherscan.io/address/0x2753c791bCA3667f10800262FCB0168269e12DC5,
Fiyinfiyinx20,,0x22be572AbC731e006a80121558915ba624bF3486,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x22be572AbC731e006a80121558915ba624bF3486,
Fiyinfiyinx20,,0xA680a06b888cBEB4aF2cE0593Adb07B546ee9181,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xA680a06b888cBEB4aF2cE0593Adb07B546ee9181,
Fiyinfiyinx20,,0x62aF59513b83d977CA3E607B686411f0dA8FF765,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x62aF59513b83d977CA3E607B686411f0dA8FF765,
Fiyinfiyinx20,,0x8067652870b26aEa24Daa2918f4D1375f113204A,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0x8067652870b26aEa24Daa2918f4D1375f113204A,
Fraizfraiz._.,,0xa1D84CD4Ab2e106B8114842b6B902E9462A73BAd,Personal - Payout (EOA),,https://etherscan.io/address/0xa1D84CD4Ab2e106B8114842b6B902E9462A73BAd,
Fraizfraiz._.,,0x4cAA9dc99c3A4Cc70f4465E70E7798FCE260d102,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x4cAA9dc99c3A4Cc70f4465E70E7798FCE260d102,
Gavinconsigli3re,consigli3re.eth,0xeEA7d0FFc09997B8b0cC59C9BBC93cdEd33c14e4,Personal - Payout (EOA),,https://etherscan.io/address/0xeEA7d0FFc09997B8b0cC59C9BBC93cdEd33c14e4,
Gavinconsigli3re,,0xB707321B9aaf959460fC234B32863B9deeaF8747,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xB707321B9aaf959460fC234B32863B9deeaF8747,
Greggregsearch,,0x11646C2BbB14e5db25aB4b4BDAc38Fe35819F844,Personal - Payout (EOA),,https://etherscan.io/address/0x11646C2BbB14e5db25aB4b4BDAc38Fe35819F844,
Greggregsearch,,0xc92ccfF0cb2461b4B7eB742871E6Ce93C131E84C,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xc92ccfF0cb2461b4B7eB742871E6Ce93C131E84C,
Jadejaderiverstokes_,,0x08B3e694caA2F1fcF8eF71095CED1326f3454B89,Personal - Payout (EOA),,https://etherscan.io/address/0x08B3e694caA2F1fcF8eF71095CED1326f3454B89,
Jangojango420,,0x823b92d6a4b2AED4b15675c7917c9f922ea8ADAD,Personal - Signing/Other,,https://etherscan.io/address/0x823b92d6a4b2AED4b15675c7917c9f922ea8ADAD,
Jasonjason_n_state_fan,,0x9345a54906191505c6Efd5FDd6A3F02D994C44Aa,Personal - Payout (EOA),,https://etherscan.io/address/0x9345a54906191505c6Efd5FDd6A3F02D994C44Aa,
Jasonjason_n_state_fan,,0x2CC14492e520bc927E63fb62E7ED61CAf243c3dc,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x2CC14492e520bc927E63fb62E7ED61CAf243c3dc,
Jigglyjamsjigglyjams,,0x385E7Eb4efDD3eBdd102A89334a49689452eeB6f,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x385E7Eb4efDD3eBdd102A89334a49689452eeB6f,
Jigglyjamsjigglyjams,,0xdAF94c1aDE3F9125B52dd654548cff6000A02Fe5,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0xdAF94c1aDE3F9125B52dd654548cff6000A02Fe5,
Jigglyjamsjigglyjams,,0x25910143C255828F623786f46fe9A8941B7983bB,Personal - Payout (EOA),,https://etherscan.io/address/0x25910143C255828F623786f46fe9A8941B7983bB,
Justinjustinpark01,,0x3a9a04f2aDa317A23696b9975B66B312BC8cE9Bc,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x3a9a04f2aDa317A23696b9975B66B312BC8cE9Bc,
Justinjustinpark01,,0x9A1741b58Bd99EBbc4e9742Bd081b887DfC95f53,Personal - Payout (EOA),,https://etherscan.io/address/0x9A1741b58Bd99EBbc4e9742Bd081b887DfC95f53,
Justinjustinpark01,,0xf697Cfae9339DF8042EfB9219D4260aA829fbF06,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xf697Cfae9339DF8042EfB9219D4260aA829fbF06,
Justinjustinpark01,,0x8a79Dcb68AE29dc1C829D40D9386e39D6a0dB9F6,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x8a79Dcb68AE29dc1C829D40D9386e39D6a0dB9F6,
Justinjustinpark01,,0x83a9A8754Ed39eB303085E69cc9Fe17Cf88BB0C1,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0x83a9A8754Ed39eB303085E69cc9Fe17Cf88BB0C1,
Kylebestape,Bestape.eth,0x0D89421D6eec0A4385F95f410732186A2Ab45077,Personal - Payout (EOA),,https://etherscan.io/address/0x0D89421D6eec0A4385F95f410732186A2Ab45077,
Kylebestape,,0x108A7ffc0698423D1988082ae92A2d568AEE10b0,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x108A7ffc0698423D1988082ae92A2d568AEE10b0,
Larrotizlarrotiz,,0x5640Ddc028f2436B5C0BA0305D2199556C1b5a95,Personal - Payout (EOA),,https://etherscan.io/address/0x5640Ddc028f2436B5C0BA0305D2199556C1b5a95,
Larrotizlarrotiz,,0x8d297b42A699fBE4bf31d32E9Cc089C797A3438A,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x8d297b42A699fBE4bf31d32E9Cc089C797A3438A,
Larrotizlarrotiz,,0x31C3Cdb4B40f003206386Ee6607a153fc8e327e2,vMOONEY Safe,,https://app.safe.global/home?safe=matic:0x31C3Cdb4B40f003206386Ee6607a153fc8e327e2,
Larrotizlarrotiz,,0xd6c5c12619649F5c94A820d3b9bCDEe4FD532aB2,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0xd6c5c12619649F5c94A820d3b9bCDEe4FD532aB2,
Lifeship,,0xD39C1a86a153e1d743e3BCd9D30F0419a6eECf1c,Project Safe,,https://app.safe.global/home?safe=matic:0xD39C1a86a153e1d743e3BCd9D30F0419a6eECf1c,
Lucas0xlucasart,,0xD5629b8bF9D81720b9A87E01BFbB5D3fc507fe4F,Personal - Payout (EOA),,https://etherscan.io/address/0xD5629b8bF9D81720b9A87E01BFbB5D3fc507fe4F,
Lucas0xlucasart,0xlucasart.eth,0x2914a556270eA59Af3fbb78C757E61aa049Ad898,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x2914a556270eA59Af3fbb78C757E61aa049Ad898,
Lucas0xlucasart,0xlucasart.eth,0xe5c5C998a564f19F0a1F1ca9fcCE448B5ffF07B7,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xe5c5C998a564f19F0a1F1ca9fcCE448B5ffF07B7,
Lucas0xlucasart,,0x286D4A10Ad19de53CDE8FCEEAc90D577a6Aeb02A,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x286D4A10Ad19de53CDE8FCEEAc90D577a6Aeb02A,
Luffy.luffy54,,0xe6f4DC7260e77AA6Dc2F36596F3d19493eB20B93,Personal - Payout (EOA),,https://etherscan.io/address/0xe6f4DC7260e77AA6Dc2F36596F3d19493eB20B93,
Luffy.luffy54,luffy54.eth,0x0ef92ec4A74D755E12E5d57f80bc5435FB2c7Ee3,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x0ef92ec4A74D755E12E5d57f80bc5435FB2c7Ee3,
Luffy.luffy54,,0x1b3278d5d7B5302B523f4a582548340fD4B5Bd21,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x1b3278d5d7B5302B523f4a582548340fD4B5Bd21,
Luffy.luffy54,,0x2fAD2fFD214d27Ed5AcDe403DF4e8e8A0a272992,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x2fAD2fFD214d27Ed5AcDe403DF4e8e8A0a272992,
Luigiluisperdomo.eth,luisperdomo.eth,0x157Bd0591c9E80B5640dEC001E9d73720fa19960,Personal - Payout (EOA),,https://etherscan.io/address/0x157Bd0591c9E80B5640dEC001E9d73720fa19960,
Luigiluisperdomo.eth,,0xbdA91F1a99ca9992BdB8a75a9521d9050a1D159C,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xbdA91F1a99ca9992BdB8a75a9521d9050a1D159C,
Macconmaccon_,,0x1EEc6A3e8f7a369fA4866C2c9B2d38d485511e86,Personal - Payout (EOA),,https://etherscan.io/address/0x1EEc6A3e8f7a369fA4866C2c9B2d38d485511e86,
Macconmaccon_,,0xe60066ae711c2ED8dcA6dfBCA4363D862B6Fa3a4,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xe60066ae711c2ED8dcA6dfBCA4363D862B6Fa3a4,
Manuelmanuelolariu,,0xE862E2C1ca94eAcfEDe3c95a217c15EF0086a29D,Personal - Payout (EOA),,https://etherscan.io/address/0xE862E2C1ca94eAcfEDe3c95a217c15EF0086a29D,
Manuelmanuelolariu,Manuelolariu.eth,0xD4416b13d2b3a9aBae7AcD5D6C2BbDBE25686401,Personal - Signing/Other,,https://etherscan.io/address/0xD4416b13d2b3a9aBae7AcD5D6C2BbDBE25686401,"Unsure if this address is still in use, must confirm with Manuel"
Manuelmanuelolariu,,0x15b4B69866a93D2FEC3B06551E5026f30c3a7691,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x15b4B69866a93D2FEC3B06551E5026f30c3a7691,
Manuelmanuelolariu,,0x7D98eb18c02A7F694C444C636Fb10B2C1B7C386A,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x7D98eb18c02A7F694C444C636Fb10B2C1B7C386A,
Mingming6348,,0x7FD14Ce34975C4fcF8CffFc9E8eCc4ae5F5e21e3,Personal - Payout (EOA),,https://etherscan.io/address/0x7FD14Ce34975C4fcF8CffFc9E8eCc4ae5F5e21e3,
Mingming6348,,0x0552e248bea7cc95B3979B213269dA5B1a83f3c2,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x0552e248bea7cc95B3979B213269dA5B1a83f3c2,
Mitchiemitchie_mitch,,0xb1d4c1B9c8DA3191Fdb515Fa7AdeC3D41D014F4f,Personal - Payout (EOA),,https://etherscan.io/address/0xb1d4c1B9c8DA3191Fdb515Fa7AdeC3D41D014F4f,
Mitchiemitchie_mitch,,0x3d1F623BEedc1bdAaeA4E7F968B44e6262eaCcAd,Void,,https://etherscan.io/address/0x3d1F623BEedc1bdAaeA4E7F968B44e6262eaCcAd,Personal cold wallet used to receive some payments
Mitchiemitchie_mitch,mitchmcquinn.eth,0x9fDf876a50EA8f95017dCFC7709356887025B5BB,Personal - Signing/Other,,https://etherscan.io/address/0x9fDf876a50EA8f95017dCFC7709356887025B5BB,
Mitchiemitchie_mitch,,0xc39E0B012c53FaB0410A4F140af4151740dB7646,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0xc39E0B012c53FaB0410A4F140af4151740dB7646,
Mitchiemitchie_mitch,,0x15Ed45F80aA60E8eDebBdd2D6EF8a8B48a46d1FB,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x15Ed45F80aA60E8eDebBdd2D6EF8a8B48a46d1FB,
Mitchiemitchie_mitch,,0xEc441a5576bc6A54EF69945d612F0C477F00715f,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0xEc441a5576bc6A54EF69945d612F0C477F00715f,
Mitchiemitchie_mitch,,0xdC952a73416d087f72Dc61aD7121a3F5ae12ad89,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0xdC952a73416d087f72Dc61aD7121a3F5ae12ad89,
Mitchiemitchie_mitch,,0xE349346D67fC5c995EE12268788fAd232007E3c9,vMOONEY Safe,"EB Incentive, Q1 2024",https://app.safe.global/home?safe=matic:0xE349346D67fC5c995EE12268788fAd232007E3c9,
MoonDAO App Expansion,,0xAEF376C2CD7bD0D7347A7295baAC98AfE93729f9,Project Safe,,https://app.safe.global/home?safe=matic:0xAEF376C2CD7bD0D7347A7295baAC98AfE93729f9,
Newsletter Q4 2023,,0x2a8DC4e7892045b6729ae27C1a8e56eb3928eEBc,Project Safe,,https://app.safe.global/home?safe=matic:0x2a8DC4e7892045b6729ae27C1a8e56eb3928eEBc,
Noah Chon LeeHaonChon,,0x850a146D7478dAAa98Fc26Fd85e6A24e50846A9d,Personal - Payout (EOA),,https://etherscan.io/address/0x850a146D7478dAAa98Fc26Fd85e6A24e50846A9d,
Noah Chon LeeHaonChon,,0x805558FDbeC0948c1A3A6228dEe0F7b8DA6886cB,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x805558FDbeC0948c1A3A6228dEe0F7b8DA6886cB,
Onboarding Improvement,,0xB01F19De628B5f5dd3D609776C66272DEE91958c,Project Safe,,https://app.safe.global/home?safe=matic:0xB01F19De628B5f5dd3D609776C66272DEE91958c,
Pablopmoncada,,0x2e837E9077D5AFBF6b8AF5d01BFDef3Cd2A990EE,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0x2e837E9077D5AFBF6b8AF5d01BFDef3Cd2A990EE,
Pablopmoncada,,0x679d87D8640e66778c3419D164998E720D7495f6,Personal - Payout (EOA),,https://etherscan.io/address/0x679d87D8640e66778c3419D164998E720D7495f6,
Pablopmoncada,,0x9B2Abe6d884B294B39271565eDe2353F3a3f9692,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x9B2Abe6d884B294B39271565eDe2353F3a3f9692,
